fecha;saldo_cierre;ingresos_dia;egresos_dia;n_eventos
2026-05-22;44942693,52;0;0,0;0
2026-05-23;44942693,52;0;0,0;0
2026-05-24;44942693,52;0;0,0;0
2026-05-25;30654957,720000003;0;14287735,8;2
2026-05-26;30654957,720000003;0;0,0;0
2026-05-27;30654957,720000003;0;0,0;0
2026-05-28;30654957,720000003;0;0,0;0
2026-05-29;30654957,720000003;0;0,0;0
2026-05-30;30654957,720000003;0;0,0;0
2026-05-31;-192749384,26;0;223404341,98;71
2026-06-01;-192749384,26;0;0,0;0
2026-06-02;-192749384,26;0;0,0;0
2026-06-03;-192749384,26;0;0,0;0
2026-06-04;-192749384,26;0;0,0;0
2026-06-05;-192749384,26;0;0,0;0
2026-06-06;-192749384,26;0;0,0;0
2026-06-07;-192749384,26;0;0,0;0
2026-06-08;-192749384,26;0;0,0;0
2026-06-09;-192749384,26;0;0,0;0
2026-06-10;-192749384,26;0;0,0;0
2026-06-11;-192749384,26;0;0,0;0
2026-06-12;-192749384,26;0;0,0;0
2026-06-13;-192749384,26;0;0,0;0
2026-06-14;-192749384,26;0;0,0;0
2026-06-15;-192749384,26;0;0,0;0
2026-06-16;-192749384,26;0;0,0;0
2026-06-17;-192749384,26;0;0,0;0
2026-06-18;-192749384,26;0;0,0;0
2026-06-19;-192749384,26;0;0,0;0
2026-06-20;-192749384,26;0;0,0;0
2026-06-21;-192749384,26;0;0,0;0
