MES_VENC;IMP_OSPEVIC;IMP_OSPIF;IMP_OSPLYFC;IMP_OSSURRBAC;IMP_OSPM;IMP_SIN_ASIGNACION
2026-04;31955693,467238784;12612470,60299104;2009427,8644718607;72518,63471759307;43966,08058072592;2975000,0
2026-05;164403723,50516027;50523174,01183535;11240660,57783272;1468345,521854417;1643223,6974246623;16186632,14
2026-06;96633452,94503242;34995748,84241435;11523609,140024057;1647800,734275491;1201697,6647371189;15455541,059999999
2026-07;57804788,62189646;16790754,211163145;10868295,59073874;1958757,1883913279;954244,1070505646;48045546,04
2026-08;20339309,025264367;8455675,476744246;1920889,3905347018;327094,84200469253;231794,79469223;4356281,069999999
TOTAL;371136967,5645923;123377823,14514814;37562882,563602075;5474516,92124352;4074926,3444853015;87019000,31
